146.8348,-37.4469,2010,3,20,1.8,3.65,17,9,40
146.3214,-37.9219,2010,3,25,0.2,12.09,9,17,24
146.7815,-37.1782,2010,3,27,2.4,10,7,59,15
146.035,-37.5201,2010,4,4,0.7,10,5,22,45
146.3411,-37.0756,2010,4,4,1.3,10,5,30,30
146.1529,-37.1754,2010,6,6,1.1,10,9,37,42
146.2787,-37.8001,2010,6,16,2,10,4,40,45
146.418,-37.5543,2010,7,5,1.8,10,17,8,47
146.1719,-37.8975,2010,7,20,0.2,10,13,2,2
146.0865,-37.6724,2010,8,17,0.1,10,8,39,4
146.5365,-37.6557,2010,8,18,3.4,10,23,43,6
146.3849,-37.6981,2010,9,7,0.2,10,16,14,10
146.5371,-37.5336,2010,9,12,2.2,10,2,20,12
146.4117,-37.3556,2010,9,17,1.8,10,13,41,21
146.3509,-37.678,2010,9,21,0.7,10,19,13,41
146.305,-37.5882,2010,10,7,0.6,8.47,20,35,44
146.372,-37.9533,2010,10,13,0.3,10,20,40,9
146.5439,-37.9278,2010,10,16,1.2,10,16,25,12
146.5233,-37.9414,2010,10,16,0.8,10,16,27,20
146.2399,-37.9372,2010,10,16,1.4,10,16,30,22
146.1997,-37.8312,2010,10,16,0.1,10,16,54,59
146.2315,-37.9299,2010,10,16,1,10,18,18,46
146.2419,-37.8998,2010,10,16,1.6,10,19,15,42
146.159,-37.8856,2010,10,16,0.4,10,19,19,18
146.5085,-37.6426,2010,10,16,0.6,10,20,11,53
146.1022,-37.4274,2010,10,18,0.5,8.47,19,55,41
146.4216,-37.7255,2010,10,22,0.9,11.72,16,54,52
146.291,-37.7647,2010,10,29,0.5,10,7,53,54
146.2824,-37.4883,2010,11,4,1,10,21,9,21
146.0158,-37.6646,2010,11,5,0.7,10,19,41,8
146.296,-37.441,2010,11,19,0.9,10,16,10,21
146.2149,-37.2216,2010,11,21,1,10,0,56,47
145.9623,-37.2585,2010,11,26,1.8,2,5,31,36
146.3448,-37.8382,2011,1,1,1.7,11.77,10,56,21
146.5351,-37.605,2011,2,26,2.6,8.13,0,46,38
146.8219,-37.5753,2011,3,15,3,10,20,40,43
146.7571,-37.7852,2011,3,27,3.3,10,12,21,35
146.2045,-37.3023,2011,4,6,1.6,10,16,36,44
146.276,-37.3336,2011,6,5,1.4,10,14,30,56
146.4166,-37.1043,2011,6,7,1.9,10,7,18,48
146.2571,-37.3106,2011,6,12,0.6,10,8,9,17
145.9506,-37.4341,2011,7,1,2.6,10,23,50,16
145.9775,-37.5152,2011,7,3,2.3,10,23,41,47
146.0981,-37.2642,2011,7,4,2.2,10,4,14,55
145.9713,-37.6301,2011,7,5,2.6,10,2,18,16
146.561,-37.5985,2011,7,7,3.1,10,18,46,35
146.1138,-37.7542,2011,9,11,0.9,10.72,17,7,7
146.1123,-37.2989,2011,9,16,3.5,10,4,19,54
146.1124,-37.4286,2011,10,9,1,10,13,0,52
145.9117,-37.4023,2011,11,8,2.5,10,19,54,9
146.6869,-37.2539,2012,2,1,2.5,10,16,5,58
146.6329,-37.1141,2012,2,21,1.7,10,17,52,25
145.9048,-37.5008,2012,2,22,2.2,10,7,38,19
145.9632,-37.4287,2012,2,25,2.5,10,0,3,13
145.9683,-37.4272,2012,2,25,0.9,10,0,43,52
146.6115,-37.2876,2012,4,6,2.6,10,4,57,22
146.5138,-37.1142,2012,4,7,3.4,10,5,33,54
146.0741,-37.3867,2012,4,17,1.1,10,18,37,37
146.5433,-37.8475,2012,4,19,3.5,10,1,20,49
146.4458,-37.9239,2012,5,5,0.1,10,8,57,35
146.2731,-37.9391,2012,5,5,0.8,9.98,8,59,12
146.4709,-37.8323,2012,5,15,3.1,10,22,49,56
145.9549,-37.3857,2012,6,9,1.1,13.69,5,43,58
146.3432,-37.8547,2012,6,21,1.5,10,1,27,51
146.2806,-37.7152,2012,8,31,3.6,10,23,46,28
146.2774,-37.8459,2012,10,9,0.1,9.66,4,23,31
146.1113,-37.5959,2012,10,11,2.5,10,1,1,1
146.349,-37.6688,2012,10,30,2.4,10,16,43,22
146.2326,-37.8588,2012,11,7,1.1,10,2,1,15
146.1255,-37.6777,2012,11,24,0.3,12.31,11,47,31
146.1613,-37.6169,2012,11,24,0.3,10,11,47,59
146.8892,-37.4252,2012,12,13,2.9,10,4,57,43
146.3072,-37.2981,2012,12,20,2.5,10,1,3,52
146.8775,-37.3102,2012,12,21,1.2,5.18,2,58,28
146.3099,-37.7416,2012,12,24,-0.1,9.27,14,10,35
146.2825,-37.338,2013,1,3,1.8,10,12,29,25
146.2804,-37.1649,2013,1,11,1.6,10,15,48,14
146.4202,-37.5833,2013,1,15,3,10,2,5,26
146.2609,-37.1598,2013,1,15,0.9,10,18,48,8
146.4976,-37.6459,2013,1,16,0.4,10,3,10,55
146.0831,-37.6164,2013,2,10,3,10,4,18,44
146.5246,-37.6627,2013,2,15,2.8,10,6,39,48
146.5042,-37.7701,2013,2,15,2.2,13.84,6,39,48
146.4561,-37.9438,2013,2,15,0.4,3.63,6,42,12
146.593,-37.1924,2013,3,1,2.7,10,5,0,18
146.4251,-37.8579,2013,3,5,1.8,7.55,8,34,51
146.3075,-37.6995,2013,3,11,1,12.07,13,56,33
146.4389,-37.8839,2013,4,7,0.7,3.24,22,48,54
146.1251,-37.213,2013,6,11,2,10,3,32,2
146.7727,-37.2869,2013,7,3,2.9,10,19,59,47
146.1918,-37.1331,2013,7,4,2.5,10,4,8,52
146.0978,-37.8589,2013,8,31,2.5,10.69,5,43,8
146.721,-37.8188,2013,9,22,2.4,16.12,14,55,26
146.3442,-37.3085,2013,9,27,1.3,10,21,14,48
146.0913,-37.4856,2013,9,28,2.6,10,0,56,40
146.4,-37.5366,2013,9,28,3.1,10,1,13,6
146.1866,-37.8591,2013,10,9,2.7,10,2,59,33
146.1664,-37.1489,2013,10,9,2.2,10,3,44,14
145.9704,-37.3642,2013,10,9,2.2,10,23,12,50
146.2651,-37.5278,2013,10,10,3.1,10,3,13,8
146.926,-37.4391,2013,10,11,2.7,10,0,8,37
146.4769,-37.0648,2013,10,11,2.5,10,3,5,41
146.5464,-37.6563,2013,10,17,2.4,10,1,41,29
146.235,-37.2831,2013,10,20,1.8,10,1,12,18
146.4228,-37.386,2013,10,26,2,10,19,38,6
146.0545,-37.2897,2013,10,31,2,10,3,55,51
146.523,-37.2519,2013,11,4,2.4,10,0,32,2
146.6344,-37.4612,2013,11,6,2.3,10,2,46,10
146.4173,-37.2607,2013,11,7,3.7,10,22,49,41
146.3401,-37.8568,2013,11,9,2.2,10,2,33,18
146.4893,-37.8436,2013,11,11,0.5,5.46,11,58,17
146.0496,-37.2666,2013,11,13,2.1,10,6,15,23
146.1668,-37.486,2013,11,16,2.7,10,9,24,23
146.2375,-37.1463,2013,11,18,1.5,3.41,14,12,39
146.4912,-37.6617,2013,11,19,1.6,10,7,55,28
146.3385,-37.6032,2013,11,23,2.3,10,15,55,38
146.4406,-37.6115,2013,12,3,1.3,11.2,20,55,0
145.9689,-37.3896,2013,12,16,0.4,10,17,40,53
145.949,-37.3979,2013,12,16,2,8.14,17,41,22
146.0782,-37.8622,2013,12,25,0.5,11.41,5,26,53
146.0915,-37.7982,2013,12,25,0,10,5,27,17
146.3227,-37.2223,2014,1,4,2.7,10,21,58,33
146.5891,-37.2215,2014,1,10,3.3,10,2,34,29
146.7845,-37.2736,2014,1,22,2.6,12.97,11,51,45
146.1136,-37.256,2014,1,27,0.8,3.86,9,23,15
146.3439,-37.6652,2014,2,21,1.4,10,7,29,36
146.0786,-37.6066,2014,3,14,1.5,10,12,55,22
145.9714,-37.7375,2014,5,1,1.4,13.46,11,14,27
146.3497,-37.8085,2014,6,2,-0.3,9.75,23,36,17
146.0992,-37.7402,2014,6,3,0.1,3.73,9,52,55
146.6348,-37.6739,2014,6,5,0.3,11.87,17,11,49
146.3082,-37.9495,2014,6,15,0.3,10.69,0,31,48
146.2004,-37.6164,2014,7,5,0.7,10,22,11,57
146.1645,-37.6603,2014,7,6,0.3,9.36,8,30,6
146.4891,-37.838,2014,7,11,0.7,13.22,23,47,3
146.1954,-37.6223,2014,7,12,0.3,8.53,14,33,50
146.1919,-37.6182,2014,7,12,0.5,10,14,44,40
146.7218,-37.7745,2014,7,13,0.9,7.23,10,34,13
146.2085,-37.6259,2014,7,23,0.2,3.63,1,16,53
146.1339,-37.4547,2014,7,24,2.2,10,15,40,5
146.8489,-37.5043,2014,7,29,1.2,6.89,5,25,41
146.1007,-37.1351,2014,7,31,2.5,10,6,31,29
146.1927,-37.6199,2014,8,10,0.8,3.66,15,44,18
146.1877,-37.503,2014,8,16,0.4,0,4,24,49
146.3458,-37.9312,2014,8,16,0.4,3.63,10,1,18
146.4315,-37.8742,2014,8,21,2,2.73,3,16,56
146.399,-37.895,2014,8,21,0.3,10,3,49,19
145.9775,-37.4634,2014,9,6,0.2,3.81,3,47,34
146.4376,-37.6682,2014,10,10,3.5,10,1,59,38
146.3807,-37.7073,2014,10,10,1,6.04,19,4,38
146.4639,-37.2973,2014,10,11,1.8,9.18,1,51,50
146.0552,-37.4118,2014,10,26,0.7,10.72,5,0,10
146.2568,-37.461,2014,12,3,1,10,11,6,22
146.3713,-37.8337,2014,12,4,-0.2,10,8,39,46
146.1868,-37.8993,2014,12,10,2.2,10,15,22,52
146.4854,-37.8056,2014,12,11,0.4,12.78,23,3,39
146.4822,-37.918,2014,12,13,0.5,10,21,7,35
146.5157,-37.886,2014,12,21,0.4,3.82,6,41,40
146.4378,-37.9401,2014,12,23,0.3,10,2,53,40
146.3122,-37.9176,2015,1,17,2,10,22,30,26
146.5626,-37.1228,2015,1,19,2,10,4,58,43
146.3522,-37.8195,2015,2,6,0.1,9.05,1,24,56
146.7092,-37.3221,2015,2,16,1.4,7.48,5,1,36
146.249,-37.2166,2015,3,18,1.3,10.64,16,20,4
146.4019,-37.9549,2015,4,8,0.8,10,0,44,20
146.0843,-37.4046,2015,4,23,0.9,14.17,15,7,49
146.1034,-37.3868,2015,4,23,2.4,9.82,15,33,48
146.59,-37.2338,2015,5,16,0.5,11.68,13,22,21
146.2544,-37.6053,2015,5,18,0.2,8.61,9,2,9
146.5575,-37.9223,2015,5,27,1.6,6.52,20,18,41
146.4067,-37.7628,2015,6,12,1.4,10.36,12,48,45
146.2556,-37.1259,2015,6,24,0.5,10,19,21,54
146.3225,-37.7957,2015,6,29,-0.5,8.99,9,23,1
146.3933,-37.8759,2015,7,3,0.8,20.37,11,17,10
146.2781,-37.8493,2015,7,6,-0.1,10,16,2,54
146.8543,-37.2938,2015,8,9,1.4,14.83,1,18,24
146.4317,-37.8315,2015,8,31,0.5,11.33,14,23,23
146.4141,-37.2896,2015,8,31,0.7,7.11,19,32,41
146.4036,-37.906,2015,9,15,0.6,17.1,3,8,28
145.9195,-37.2921,2015,10,2,2.2,5.37,8,5,48
146.0441,-37.3475,2015,11,9,0.3,10,18,50,44
146.5104,-37.73,2015,11,15,1.5,5,22,50,35
146.5177,-37.2773,2015,12,27,0.9,11.51,11,40,46
146.129,-37.7121,2016,1,3,1.2,10,15,30,22
146.6423,-37.2784,2016,1,18,1,10,19,51,51
146.371,-37.8442,2016,3,21,-0.1,0.45,9,30,37
146.4334,-37.8401,2016,3,23,0.8,12.74,22,14,42
146.3671,-37.8892,2016,3,28,-0.2,9.94,13,36,17
146.3535,-37.8916,2016,4,8,0.9,15.17,1,6,45
146.0486,-37.6265,2016,4,23,0.6,3.88,21,49,27
146.072,-37.413,2016,5,1,1,11.15,12,25,57
146.6218,-37.4179,2016,6,10,1.7,10,4,3,25
146.7687,-37.45,2016,6,13,0.7,10.21,14,31,57
146.8014,-37.4342,2016,7,3,1,4.21,0,10,24
146.1236,-37.7019,2016,7,27,0.9,7.42,22,59,59
146.4338,-37.9255,2016,8,29,0.2,11.01,15,47,43
146.3603,-37.5326,2016,10,13,0.6,10,18,28,36
145.9782,-37.4265,2016,12,3,0.8,10,1,33,11
146.2059,-37.6143,2017,1,4,0.6,10,2,42,32
146.4671,-37.7824,2017,2,6,0.3,10,4,32,56
